query,mode,iter,ms
q1,native,1,2336.024
q1,sim,1,1935.568
q1,native,2,1633.393
q1,sim,2,1532.199
q1,native,3,1524.983
q1,sim,3,1600.696
q2,native,1,182.385
q2,sim,1,101.556
q2,native,2,108.353
q2,sim,2,98.484
q2,native,3,138.240
q2,sim,3,100.928
q3,native,1,631.664
q3,sim,1,182.251
q3,native,2,168.288
q3,sim,2,167.664
q3,native,3,167.240
q3,sim,3,169.252
q4,native,1,712.198
q4,sim,1,122.393
q4,native,2,120.486
q4,sim,2,122.856
q4,native,3,118.745
q4,sim,3,122.211
q5,native,1,130.206
q5,sim,1,97.216
q5,native,2,102.099
q5,sim,2,99.946
q5,native,3,102.745
q5,sim,3,103.215
q6,native,1,354.981
q6,sim,1,191.024
q6,native,2,217.638
q6,sim,2,205.677
q6,native,3,233.305
q6,sim,3,195.713
q7,native,1,148.017
q7,sim,1,143.073
q7,native,2,142.978
q7,sim,2,145.307
q7,native,3,143.828
q7,sim,3,146.909
q8,native,1,1209.538
q8,sim,1,852.040
q8,native,2,845.477
q8,sim,2,873.704
q8,native,3,857.125
q8,sim,3,849.649
q9,native,1,1296.837
q9,sim,1,1050.865
q9,native,2,1046.515
q9,sim,2,1046.353
q9,native,3,1048.248
q9,sim,3,1111.268
q10,native,1,231.759
q10,sim,1,250.563
q10,native,2,226.298
q10,sim,2,219.942
q10,native,3,221.397
q10,sim,3,222.326
q11,native,1,41.360
q11,sim,1,40.914
q11,native,2,41.253
q11,sim,2,40.472
q11,native,3,41.880
q11,sim,3,39.671
q12,native,1,239.640
q12,sim,1,240.200
q12,native,2,236.768
q12,sim,2,234.324
q12,native,3,239.646
q12,sim,3,243.130
q13,native,1,237.327
q13,sim,1,220.731
q13,native,2,226.392
q13,sim,2,218.050
q13,native,3,245.768
q13,sim,3,240.935
q14,native,1,207.831
q14,sim,1,236.042
q14,native,2,177.212
q14,sim,2,172.142
q14,native,3,170.487
q14,sim,3,172.830
q15,native,1,642.364
q15,sim,1,644.184
q15,native,2,637.555
q15,sim,2,634.035
q15,native,3,636.357
q15,sim,3,720.359
q16,native,1,143.446
q16,sim,1,145.771
q16,native,2,149.216
q16,sim,2,148.684
q16,native,3,151.684
q16,sim,3,152.726
q18,native,1,2394.694
q18,sim,1,2265.783
q18,native,2,2342.765
q18,sim,2,2343.021
q18,native,3,2383.035
q18,sim,3,2216.445
q19,native,1,236.341
q19,sim,1,235.389
q19,native,2,199.832
q19,sim,2,197.737
q19,native,3,193.683
q19,sim,3,196.439
q21,native,1,484.273
q21,sim,1,465.750
q21,native,2,437.690
q21,sim,2,457.684
q21,native,3,471.633
q21,sim,3,439.934
q22,native,1,58.895
q22,sim,1,54.797
q22,native,2,53.447
q22,sim,2,56.545
q22,native,3,55.857
q22,sim,3,54.970
