id,col1,col2,col3
1000000,758,0.8921795677048454,A
1000001,432,0.03178267948178359,A
1000002,718,0.5449414806032167,B
1000003,284,0.8094304566778266,A
1000004,270,0.8071282732743802,D
1000005,127,0.9731157639793706,D
1000006,633,0.8854517479368068,C
1000007,196,0.7045718362149235,A
1000008,233,0.7730683407886919,A
1000009,854,0.36483217897008424,C
1000010,663,0.07140250957854832,B
1000011,746,0.24481092515142622,D
1000012,704,0.5569497437746462,C
1000013,897,0.717914270718976,B
1000014,511,0.39563190106066426,D
1000015,574,0.5389772896672904,D
1000016,408,0.36199644371361095,B
1000017,505,0.09090941217379389,A
1000018,432,0.5964090307319738,D
1000019,479,0.529114345099137,A
1000020,738,0.11455174298368664,C
1000021,348,0.11155217359587644,D
1000022,896,0.7196806688859242,B
1000023,934,0.10641082279770497,C
1000024,519,0.6089702114381723,B
1000025,940,0.0005718961279435053,C
1000026,969,0.0787570482913661,D
1000027,169,0.2650566289400591,D
1000028,706,0.2011510633896959,C
1000029,665,0.3734205025292938,D
1000030,225,0.0071908389850935395,A
1000031,497,0.2142368073704386,B
1000032,957,0.8823830751407377,D
1000033,55,0.6733645472933015,A
1000034,459,0.14018229709477448,B
1000035,100,0.05058832952488124,A
1000036,980,0.730505317415466,D
1000037,161,0.056879579728684515,A
1000038,882,0.2352038950009312,A
1000039,252,0.5789190575072106,A
1000040,83,0.4192249153358725,C
1000041,660,0.2999970797987622,C
1000042,102,0.073260721099633,B
1000043,271,0.1324565703664673,C
1000044,309,0.6116777657259501,A
1000045,836,0.5546022824896778,A
1000046,215,0.7176121871387979,B
1000047,649,0.8529128153918973,D
1000048,437,0.5609068647747464,A
1000049,565,0.14809378556748265,B
1000050,255,0.666933410635543,C
1000051,905,0.8747127235410912,B
1000052,884,0.7350575388278761,B
1000053,521,0.39967838436006087,C
1000054,805,0.31367731419499123,A
1000055,194,0.25472250613858194,D
1000056,703,0.7194299991448455,B
1000057,321,0.6633874762655443,A
1000058,921,0.3003222682112642,C
1000059,418,0.32618290485739987,C
1000060,130,0.19184009299014748,D
1000061,766,0.9028055457325826,C
1000062,853,0.0004059396972875273,C
1000063,670,0.32224922973653813,D
1000064,218,0.5111739968745871,B
1000065,86,0.28378640499302743,C
1000066,589,0.1944352367397093,D
1000067,475,0.05021838514064092,B
1000068,543,0.987892453066448,C
1000069,834,0.7192739612759671,D
1000070,456,0.8972081032332622,D
1000071,496,0.6267484369817813,C
1000072,82,0.13837406151615572,B
1000073,156,0.7064191416945522,A
1000074,477,0.41577423410315595,B
1000075,968,0.6955229864979681,D
1000076,765,0.7346340607563577,B
1000077,817,0.4043166691376371,B
1000078,577,0.6629997568361613,A
1000079,438,0.13569948723056424,D
1000080,53,0.9999078285092092,C
1000081,41,0.7542332040595262,B
1000082,117,0.5639695819300191,B
1000083,262,0.7668980983562408,B
1000084,621,0.9637347441012087,A
1000085,26,0.9288871684071216,D
1000086,203,0.07599647784305996,B
1000087,614,0.8055279636461664,A
1000088,438,0.6615213406873559,A
1000089,663,0.3412311748612832,D
1000090,912,0.8287073110024582,B
1000091,276,0.615912354053551,D
1000092,606,0.26839553804922534,B
1000093,684,0.37898930412826404,A
1000094,718,0.8801073452552302,A
1000095,970,0.19105642352709884,B
1000096,416,0.48857784684878736,B
1000097,487,0.6459028997409523,D
1000098,249,0.3062060301300884,C
1000099,543,0.34375739414620254,C
1000100,464,0.27091642697619633,C
1000101,189,0.19154097301054474,D
1000102,603,0.9766070228830568,C
1000103,966,0.1262794929584089,D
1000104,971,0.3038355118422277,B
1000105,610,0.7907408298434194,B
1000106,389,0.45051446488875424,D
1000107,439,0.3053802443193604,A
1000108,983,0.740089305484545,B
1000109,216,0.2646461252900074,A
1000110,608,0.46991247900768585,A
1000111,880,0.45403132640704325,B
1000112,603,0.6611830428533678,B
1000113,766,0.8242403013200092,C
