id,old_col1,old_col2,old_col3,new_col1,new_col2,new_col3
622647,800,0.8408804069274449,D,759,0.27502931836911926,D
342636,964,0.7479439841326737,B,142,0.7364712141640124,B
919345,932,0.49670532939703294,C,238,0.5053552881033624,C
248686,920,0.9085949113288071,C,574,0.1988376506866485,C
220653,118,0.3417462054004914,B,714,0.42261439815350255,B
829702,760,0.158244918368462,D,220,0.9572130722067812,D
381154,792,0.8231442812547717,C,94,0.3799273006373374,C
422355,855,0.47923352158772714,C,565,0.2931782814070929,C
424556,712,0.1820584613380718,B,887,0.10100142940972912,B
885239,282,0.7562464085519033,A,686,0.26697782204911336,A
291369,132,0.22928560403579323,B,234,0.8218025940068083,B
589933,414,0.9147013220608821,A,216,0.913136124185545,A
740696,64,0.4134825956323317,A,271,0.1396303195255063,A
131947,351,0.887527169853464,D,156,0.62744604170309,D
170568,435,0.34087363229838763,A,464,0.0032453161017292897,A
58434,966,0.022749880125939037,D,552,0.9534997476535028,D
352453,186,0.1234920012868187,C,114,0.9290986162646171,C
444193,539,0.5627393764652707,D,59,0.2408715924472331,D
573246,300,0.5376806860123545,D,778,0.5327061695295157,D
305505,450,0.4206555491233277,D,131,0.6597508227473674,D
403129,711,0.10606136061082283,A,951,0.5392960887794583,A
238387,892,0.048445676842791885,A,253,0.22469733703155736,A
201299,771,0.128500362744701,D,602,0.5539215224244798,D
687230,767,0.7740046767808259,A,69,0.905420013006128,A
899551,438,0.020576478472813076,D,526,0.23800463436899522,D
956712,244,0.24193448651170057,B,803,0.4729729429445937,B
87677,910,0.8887231757635042,B,96,0.09693081422882333,B
656700,846,0.6063721924758395,B,412,0.7282135884411827,B
269343,895,0.7444072413729681,B,254,0.19159007214165402,B
11050,884,0.5202409355609566,D,895,0.9232655992760128,D
14627,919,0.08268697876758735,B,948,0.7535655040196756,B
375754,348,0.8922252677811184,D,170,0.406414057952472,D
403407,467,0.15875816427604517,B,885,0.4010402925494526,B
840135,51,0.6100840675728271,D,168,0.3789731189769161,D
286503,537,0.09746261843254045,C,194,0.2967078254945642,C
611707,608,0.5091277539727175,D,593,0.7357371787890434,D
214899,491,0.3083413635825222,A,765,0.31360480976972926,A
644539,182,0.7995488453766025,A,598,0.4767885171089349,A
915950,339,0.8374847263892987,D,70,0.5950351064500277,D
293865,984,0.7978415086179249,A,685,0.7161918007894148,A
150939,900,0.7111427093796663,C,271,0.3957858467912545,C
119041,900,0.40186462017385494,D,9,0.4582855226185861,D
547050,611,0.3643961449117711,B,900,0.24428441650813137,B
75021,879,0.3203359368877141,A,448,0.833744954639807,A
977106,558,0.8003065891655132,B,270,0.11542867041910221,B
540869,260,0.9385311740117749,C,760,0.5532236408848159,C
911136,890,0.21085867361006294,B,94,0.6342844473091942,B
895044,146,0.8115788018367828,D,3,0.33355653860508816,D
72779,411,0.8564448301498513,D,652,0.9797979538288359,D
393332,360,0.2494064591564068,C,759,0.44183551186085057,C
286374,878,0.8473292535784384,D,967,0.883106393300143,D
99474,383,0.35126083783373563,B,558,0.036028138060830606,B
615707,881,0.6691561892785461,D,315,0.36465151532725604,D
720933,903,0.0795061514906652,D,920,0.35780923225042616,D
782830,89,0.8065897339539446,C,885,0.16250176710043862,C
756715,231,0.3570142146978853,D,902,0.4122944103537973,D
418215,558,0.324557548926078,C,754,0.9244872952415456,C
51986,840,0.8879331699632469,C,806,0.7012781881399126,C
919635,76,0.8101219255442067,A,879,0.47069002108599034,A
517410,802,0.7440124216388088,C,836,0.918451901229495,C
340839,354,0.3389693069267441,D,228,0.02366443470145152,D
963107,459,0.2616290537677638,B,408,0.3282619511977065,B
463954,10,0.3187444911163382,D,990,0.773326637440361,D
291942,468,0.6543490420894252,C,118,0.8770384115755603,C
308780,187,0.24038521762196408,B,594,0.9625343157615555,B
673695,946,0.47941680745665405,B,111,0.5965712549877447,B
267457,789,0.028836306066240658,A,532,0.9255751654990827,A
141175,188,0.11211994823370597,C,971,0.6642376849112723,C
534361,979,0.5946722198897765,C,440,0.7857588274775801,C
240513,124,0.736324276417391,A,838,0.9519996624524752,A
221990,397,0.02197298797993097,A,688,0.3104194642949153,A
